Id;Mots;Mots_sans_lastharaKa;Mots_sans_harakat;orientation;force;Score
19034;مُتَشَاغَبٌ;مُتَشَاغَب;متشاغب;Negative;High;-3.0
19035;مُتَشَاغِبٌ;مُتَشَاغِب;متشاغب;Negative;High;-3.0
19036;مُتَشَغَّبٌ;مُتَشَغَّب;متشغب;Negative;Median;-2.0
19037;مُتَشَغَّبٌ;مُتَشَغَّب;متشغب;Negative;Median;-2.0
19038;مُتَشَغِّبٌ;مُتَشَغِّب;متشغب;Negative;High;-3.0
19039;مُشَاغَبٌ;مُشَاغَب;مشاغب;Negative;Median;-2.0
19040;مُشَاغَبٌ;مُشَاغَب;مشاغب;Negative;Median;-2.0
19041;مُشَاغِبٌ;مُشَاغِب;مشاغب;Negative;High;-3.0
19042;مُشَاغَبَةٌ;مُشَاغَبَة;مشاغبة;Negative;Low;-1.0
19043;مَشْغَبٌ;مَشْغَب;مشغب;Negative;Low;-1.0
19044;مَشْغُوبٌ;مَشْغُوب;مشغوب;Negative;Low;-1.0
19045;تَشَغَّفَ;تَشَغَّف;تشغف;Positive;High;3.0
19046;تَشَغُّفٌ;تَشَغُّف;تشغف;Positive;Median;2.0
19047;تَشَغُّفَةٌ;تَشَغُّفَة;تشغفة;Positive;Low;1.0
19048;شَغَفٌ;شَغَف;شغف;Positive;High;3.0
19049;شَغَفَ;شَغَف;شغف;Positive;Median;2.0
19050;شَغِفَ;شَغِف;شغف;Positive;Low;1.0
19051;مُتَشَغَّفٌ;مُتَشَغَّف;متشغف;Positive;High;3.0
19052;مُتَشَغَّفٌ;مُتَشَغَّف;متشغف;Positive;High;3.0
19053;مُتَشَغِّفٌ;مُتَشَغِّف;متشغف;Positive;High;3.0
19054;انْشِغَالٌ;انْشِغَال;انشغال;Negative;High;-3.0
19055;انْشِغَالَةٌ;انْشِغَالَة;انشغالة;Negative;Low;-1.0
19056;اِنْشَغَلَ;اِنْشَغَل;انشغل;Neutre;Median;0.0
19057;تَشَاغَلَ;تَشَاغَل;تشاغل;Negative;Median;-2.0
19058;تَشَاغُلٌ;تَشَاغُل;تشاغل;Negative;Median;-2.0
19059;تَشَاغُلَةٌ;تَشَاغُلَة;تشاغلة;Negative;Median;-2.0
19060;تَشْغِيلٌ;تَشْغِيل;تشغيل;Positive;Median;2.0
19061;تَشْغِيلَةٌ;تَشْغِيلَة;تشغيلة;Neutre;Median;0.0
19062;شَاغِلٌ;شَاغِل;شاغل;Positive;Median;2.0
19063;شَغَّالٌ;شَغَّال;شغال;Positive;High;3.0
19064;شَغَّلَ;شَغَّل;شغل;Positive;Median;2.0
19065;شَغَلَ;شَغَل;شغل;Positive;Low;1.0
19066;شَغْلٌ;شَغْل;شغل;Neutre;Median;0.0
19067;شُغْلٌ;شُغْل;شغل;Neutre;Median;0.0
19068;شَغْلَةٌ;شَغْلَة;شغلة;Neutre;Median;0.0
19069;شِغْلَةٌ;شِغْلَة;شغلة;Neutre;Median;0.0
19070;مُتَشَاغَلٌ;مُتَشَاغَل;متشاغل;Negative;Low;-1.0
19071;مُتَشَاغَلٌ;مُتَشَاغَل;متشاغل;Negative;Low;-1.0
19072;مُتَشَاغِلٌ;مُتَشَاغِل;متشاغل;Negative;Median;-2.0
19073;مُشَغَّلٌ;مُشَغَّل;مشغل;Positive;Median;2.0
19074;مُشَغَّلٌ;مُشَغَّل;مشغل;Positive;Median;2.0
19075;مُشَغِّلٌ;مُشَغِّل;مشغل;Positive;Median;2.0
19076;مَشْغَلٌ;مَشْغَل;مشغل;Neutre;Median;0.0
19077;مَشْغُولٌ;مَشْغُول;مشغول;Negative;Median;-2.0
19078;مُنْشَغَلٌ;مُنْشَغَل;منشغل;Negative;Median;-2.0
19079;مُنْشَغَلٌ;مُنْشَغَل;منشغل;Negative;Median;-2.0
19080;مُنْشَغِلٌ;مُنْشَغِل;منشغل;Negative;High;-3.0
19081;اسْتِشْفَاعٌ;اسْتِشْفَاع;استشفاع;Positive;Median;2.0
19082;اِسْتَشْفَعَ;اِسْتَشْفَع;استشفع;Positive;High;3.0
19083;تَشَفَّعَ;تَشَفَّع;تشفع;Positive;Median;2.0
19084;تَشَفُّعٌ;تَشَفُّع;تشفع;Positive;High;3.0
19085;تَشْفِيعٌ;تَشْفِيع;تشفيع;Positive;Median;2.0
19086;شِفْعٌ;شِفْع;شفع;Positive;Low;1.0
19087;شَفَّعَ;شَفَّع;شفع;Positive;High;3.0
19088;مُتَشَفَّعٌ;مُتَشَفَّع;متشفع;Positive;Median;2.0
19089;مُتَشَفَّعٌ;مُتَشَفَّع;متشفع;Positive;Median;2.0
19090;مُتَشَفِّعٌ;مُتَشَفِّع;متشفع;Positive;Median;2.0
19091;مُسْتَشْفَعٌ;مُسْتَشْفَع;مستشفع;Positive;Median;2.0
19092;مُسْتَشْفَعٌ;مُسْتَشْفَع;مستشفع;Positive;Median;2.0
19093;مُسْتَشْفِعٌ;مُسْتَشْفِع;مستشفع;Positive;Median;2.0
19094;مُشَفَّعٌ;مُشَفَّع;مشفع;Positive;Low;1.0
19095;مُشَفَّعٌ;مُشَفَّع;مشفع;Positive;High;3.0
19096;مُشَفِّعٌ;مُشَفِّع;مشفع;Positive;High;3.0
19097;شَافِقٌ;شَافِق;شافق;Positive;Median;2.0
19098;شَفَقٌ;شَفَق;شفق;Neutre;Median;0.0
19099;شَفِقَ;شَفِق;شفق;Positive;High;3.0
19100;شَفِيقٌ;شَفِيق;شفيق;Positive;High;3.0
19101;مَشْفَقٌ;مَشْفَق;مشفق;Positive;Low;1.0
19102;مَشْفُوقٌ;مَشْفُوق;مشفوق;Positive;Median;2.0
19103;شَافٍ;شَاف;شاف;Positive;High;3.0
19104;شَفًا;شَفا;شفا;Neutre;Median;0.0
19105;شَفَا;شَفَا;شفا;Positive;Low;1.0
19106;شَفَّاءٌ;شَفَّاء;شفاء;Positive;High;3.0
19107;شَفْوٌ;شَفْو;شفو;Neutre;Median;0.0
19108;شَفْوَةٌ;شَفْوَة;شفوة;Positive;Low;1.0
19109;شِفْوَةٌ;شِفْوَة;شفوة;Positive;Low;1.0
19110;شَفِيَ;شَفِي;شفي;Positive;Median;2.0
19111;مَشْفًى;مَشْفى;مشفى;Neutre;Median;0.0
19112;مَشْفِيٌّ;مَشْفِيّ;مشفي;Positive;High;3.0
19113;إِشْفَاءٌ;إِشْفَاء;إشفاء;Positive;Median;2.0
19114;إِشْفَاءَةٌ;إِشْفَاءَة;إشفاءة;Positive;Low;1.0
19115;أَشْفَى;أَشْفَى;أشفى;Positive;High;3.0
19116;اسْتِشْفَاءٌ;اسْتِشْفَاء;استشفاء;Positive;Median;2.0
19117;اسْتِشْفَاءَةٌ;اسْتِشْفَاءَة;استشفاءة;Positive;Low;1.0
19118;اِسْتَشْفَى;اِسْتَشْفَى;استشفى;Positive;High;3.0
19119;اِشْتَفَى;اِشْتَفَى;اشتفى;Negative;High;-3.0
19120;تَشَفٍّ;تَشَفّ;تشف;Negative;Median;-2.0
19121;تَشَفَّى;تَشَفَّى;تشفى;Negative;Median;-2.0
19122;تَشَفِّيَةٌ;تَشَفِّيَة;تشفية;Negative;Median;-2.0
19123;شَافٍ;شَاف;شاف;Positive;High;3.0
19124;شَافَى;شَافَى;شافى;Positive;Median;2.0
19125;شَفَّاءٌ;شَفَّاء;شفاء;Positive;High;3.0
19126;شَفَى;شَفَى;شفى;Positive;Median;2.0
19127;شَفْيَةٌ;شَفْيَة;شفية;Positive;Low;1.0
19128;شِفْيَةٌ;شِفْيَة;شفية;Positive;Low;1.0
19129;مُتَشَفٍّ;مُتَشَفّ;متشف;Negative;High;-3.0
19130;مُتَشَفًّى;مُتَشَفّى;متشفى;Negative;High;-3.0
19131;مُتَشَفًّى;مُتَشَفّى;متشفى;Negative;High;-3.0
19132;مُسْتَشْفٍ;مُسْتَشْف;مستشف;Positive;High;3.0
19133;مُسْتَشْفًى;مُسْتَشْفى;مستشفى;Neutre;Median;0.0
19134;مُسْتَشْفًى;مُسْتَشْفى;مستشفى;Neutre;Median;0.0
19135;مُشَافٍ;مُشَاف;مشاف;Positive;Median;2.0
19136;مُشَافَاةٌ;مُشَافَاة;مشافاة;Positive;High;3.0
19137;مُشَافَاةٌ;مُشَافَاة;مشافاة;Positive;Median;2.0
19138;مُشَافًى;مُشَافى;مشافى;Positive;High;3.0
19139;مُشَافًى;مُشَافى;مشافى;Positive;High;3.0
19140;مُشْفٍ;مُشْف;مشف;Positive;High;3.0
19141;مَشْفًى;مَشْفى;مشفى;Positive;Median;2.0
19142;مُشْفًى;مُشْفى;مشفى;Positive;Median;2.0
19143;مُشْفًى;مُشْفى;مشفى;Negative;Median;-2.0
19144;مَشْفِيٌّ;مَشْفِيّ;مشفي;Positive;High;3.0
19145;شَاقِرٌ;شَاقِر;شاقر;Positive;Median;2.0
19146;شَقُرَ;شَقُر;شقر;Positive;Median;2.0
19147;شَقِرٌ;شَقِر;شقر;Positive;High;3.0
19148;شَقْرٌ;شَقْر;شقر;Positive;Median;2.0
19149;شَقْرَةٌ;شَقْرَة;شقرة;Positive;High;3.0
19150;شِقْرَةٌ;شِقْرَة;شقرة;Positive;Low;1.0
19151;شَقَّارٌ;شَقَّار;شقار;Positive;High;3.0
19152;مَشْقَرٌ;مَشْقَر;مشقر;Positive;Median;2.0
19153;مَشْقُورٌ;مَشْقُور;مشقور;Positive;Median;2.0
19154;شَاقَّ;شَاقّ;شاق;Negative;Median;-2.0
19155;شِقَاقٌ;شِقَاق;شقاق;Negative;High;-3.0
19156;مُشَاقٌّ;مُشَاقّ;مشاق;Negative;High;-3.0
19157;مُشَاقٌّ;مُشَاقّ;مشاق;Negative;Median;-2.0
19158;مُشَاقٌّ;مُشَاقّ;مشاق;Negative;Median;-2.0
19159;مُشَاقَّةٌ;مُشَاقَّة;مشاقة;Negative;Median;-2.0
19160;مُشَاقَّةٌ;مُشَاقَّة;مشاقة;Negative;Low;-1.0
19161;مُنْشَقٌّ;مُنْشَقّ;منشق;Negative;High;-3.0
19162;إِشْقَاءٌ;إِشْقَاء;إشقاء;Negative;Low;-1.0
19163;إِشْقَاءَةٌ;إِشْقَاءَة;إشقاءة;Negative;Low;-1.0
19164;أَشْقَى;أَشْقَى;أشقى;Negative;High;-3.0
19165;شَاقَى;شَاقَى;شاقى;Positive;Median;2.0
19166;شَقًا;شَقا;شقا;Negative;Low;-1.0
19167;شَقَا;شَقَا;شقا;Negative;Median;-2.0
19168;شِقَاءٌ;شِقَاء;شقاء;Negative;Median;-2.0
19169;شَقَاوَةٌ;شَقَاوَة;شقاوة;Negative;High;-3.0
19170;شِقَاوَةٌ;شِقَاوَة;شقاوة;Negative;Median;-2.0
19171;شَقْوٌ;شَقْو;شقو;Negative;Low;-1.0
19172;شَقْوَةٌ;شَقْوَة;شقوة;Negative;Median;-2.0
19173;شِقْوَةٌ;شِقْوَة;شقوة;Negative;High;-3.0
19174;شَقِيَ;شَقِي;شقي;Negative;Low;-1.0
19175;مُشَاقٍ;مُشَاق;مشاق;Positive;Median;2.0
19176;مُشَاقَاةٌ;مُشَاقَاة;مشاقاة;Negative;Low;-1.0
19177;مُشَاقَاةٌ;مُشَاقَاة;مشاقاة;Negative;Median;-2.0
19178;مُشَاقًى;مُشَاقى;مشاقى;Negative;Median;-2.0
19179;مُشَاقًى;مُشَاقى;مشاقى;Negative;Median;-2.0
19180;مُشْقٍ;مُشْق;مشق;Negative;Low;-1.0
19181;مَشْقُوٌّ;مَشْقُوّ;مشقو;Negative;Median;-2.0
19182;مُشْقًى;مُشْقى;مشقى;Negative;Median;-2.0
19183;مُشْقًى;مُشْقى;مشقى;Negative;Median;-2.0
19184;مَشْقِيٌّ;مَشْقِيّ;مشقي;Negative;Low;-1.0
19185;إِشْكَارٌ;إِشْكَار;إشكار;Positive;Median;2.0
19186;إِشْكَارَةٌ;إِشْكَارَة;إشكارة;Positive;Low;1.0
19187;أَشْكَرَ;أَشْكَر;أشكر;Positive;Median;2.0
19188;تَشَكَّرَ;تَشَكَّر;تشكر;Positive;High;3.0
19189;تَشَكُّرٌ;تَشَكُّر;تشكر;Positive;Median;2.0
19190;تَشَكُّرَةٌ;تَشَكُّرَة;تشكرة;Positive;Median;2.0
19191;شَاكِرٌ;شَاكِر;شاكر;Positive;Median;2.0
19192;شَكَرَ;شَكَر;شكر;Positive;Median;2.0
19193;شَكِرَ;شَكِر;شكر;Positive;Low;1.0
19194;شَكْرٌ;شَكْر;شكر;Positive;Median;2.0
19195;شُكْرٌ;شُكْر;شكر;Positive;Median;2.0
19196;شَكْرَةٌ;شَكْرَة;شكرة;Positive;Low;1.0
19197;شِكْرَةٌ;شِكْرَة;شكرة;Positive;Low;1.0
19198;شَكَّارٌ;شَكَّار;شكار;Positive;High;3.0
19199;شَكُورٌ;شَكُور;شكور;Positive;High;3.0
19200;شُكُورٌ;شُكُور;شكور;Positive;High;3.0
19201;مُتَشَكَّرٌ;مُتَشَكَّر;متشكر;Positive;High;3.0
19202;مُتَشَكَّرٌ;مُتَشَكَّر;متشكر;Positive;High;3.0
19203;مُتَشَكِّرٌ;مُتَشَكِّر;متشكر;Positive;Median;2.0
19204;مَشْكَرٌ;مَشْكَر;مشكر;Positive;Low;1.0
19205;مُشْكَرٌ;مُشْكَر;مشكر;Positive;Median;2.0
19206;مُشْكَرٌ;مُشْكَر;مشكر;Positive;Low;1.0
19207;مُشْكِرٌ;مُشْكِر;مشكر;Positive;Median;2.0
19208;مَشْكُورٌ;مَشْكُور;مشكور;Positive;Median;2.0
19209;تَشَاكَسَ;تَشَاكَس;تشاكس;Negative;Median;-2.0
19210;تَشَاكُسٌ;تَشَاكُس;تشاكس;Negative;Median;-2.0
19211;تَشَاكُسَةٌ;تَشَاكُسَة;تشاكسة;Negative;Median;-2.0
19212;شَاكَسَ;شَاكَس;شاكس;Negative;High;-3.0
19213;شَاكِسٌ;شَاكِس;شاكس;Negative;Median;-2.0
19214;شِكَاسٌ;شِكَاس;شكاس;Negative;Median;-2.0
19215;شَكَسٌ;شَكَس;شكس;Negative;High;-3.0
19216;شَكُسَ;شَكُس;شكس;Negative;Low;-1.0
19217;شَكِسَ;شَكِس;شكس;Negative;Median;-2.0
19218;شَكْسَةٌ;شَكْسَة;شكسة;Negative;Low;-1.0
19219;شِكْسَةٌ;شِكْسَة;شكسة;Negative;Low;-1.0
19220;شَكَّاسٌ;شَكَّاس;شكاس;Negative;High;-3.0
19221;مُتَشَاكَسٌ;مُتَشَاكَس;متشاكس;Negative;Median;-2.0
19222;مُتَشَاكَسٌ;مُتَشَاكَس;متشاكس;Negative;Median;-2.0
19223;مُتَشَاكِسٌ;مُتَشَاكِس;متشاكس;Negative;High;-3.0
19224;مُشَاكَسٌ;مُشَاكَس;مشاكس;Negative;Median;-2.0
19225;مُشَاكَسٌ;مُشَاكَس;مشاكس;Negative;Median;-2.0
19226;مُشَاكِسٌ;مُشَاكِس;مشاكس;Negative;High;-3.0
19227;مُشَاكَسَةٌ;مُشَاكَسَة;مشاكسة;Negative;Low;-1.0
19228;مَشْكَسٌ;مَشْكَس;مشكس;Negative;Low;-1.0
19229;إِشْكَاعٌ;إِشْكَاع;إشكاع;Neutre;Median;0.0
19230;إِشْكَاعَةٌ;إِشْكَاعَة;إشكاعة;Negative;Low;-1.0
19231;أَشْكَعَ;أَشْكَع;أشكع;Negative;Median;-2.0
19232;شَاكِعٌ;شَاكِع;شاكع;Negative;Median;-2.0
19233;شَكَعٌ;شَكَع;شكع;Neutre;Median;0.0
19234;شَكَعَ;شَكَع;شكع;Negative;Low;-1.0
19235;شَكِعَ;شَكِع;شكع;Negative;Median;-2.0
19236;شَكْعٌ;شَكْع;شكع;Neutre;Median;0.0
19237;شَكْعَةٌ;شَكْعَة;شكعة;Negative;Low;-1.0
19238;شِكْعَةٌ;شِكْعَة;شكعة;Negative;Low;-1.0
19239;شَكَّاعٌ;شَكَّاع;شكاع;Negative;High;-3.0
19240;مَشْكَعٌ;مَشْكَع;مشكع;Negative;Median;-2.0
19241;مُشْكَعٌ;مُشْكَع;مشكع;Negative;Median;-2.0
19242;مُشْكَعٌ;مُشْكَع;مشكع;Negative;Median;-2.0
19243;مُشْكِعٌ;مُشْكِع;مشكع;Negative;High;-3.0
19244;مَشْكُوعٌ;مَشْكُوع;مشكوع;Negative;Low;-1.0
19245;شَكَّ;شَكّ;شك;Negative;Median;-2.0
19246;إِشْكَالٌ;إِشْكَال;إشكال;Negative;High;-3.0
19247;إِشْكَالَةٌ;إِشْكَالَة;إشكالة;Negative;Low;-1.0
19248;أَشْكَلَ;أَشْكَل;أشكل;Neutre;Median;0.0
19249;اسْتِشْكَالٌ;اسْتِشْكَال;استشكال;Negative;Median;-2.0
19250;اسْتِشْكَالَةٌ;اسْتِشْكَالَة;استشكالة;Negative;Median;-2.0
19251;اِسْتَشْكَلَ;اِسْتَشْكَل;استشكل;Negative;Median;-2.0
19252;تَشَاكَلَ;تَشَاكَل;تشاكل;Positive;High;3.0
19253;تَشَاكُلٌ;تَشَاكُل;تشاكل;Positive;Median;2.0
19254;تَشَاكُلَةٌ;تَشَاكُلَة;تشاكلة;Negative;Low;-1.0
19255;تَشْكِيلٌ;تَشْكِيل;تشكيل;Neutre;Median;0.0
19256;تَشْكِيلَةٌ;تَشْكِيلَة;تشكيلة;Negative;Median;-2.0
19257;شَاكَلَ;شَاكَل;شاكل;Positive;Median;2.0
19258;شِكَالٌ;شِكَال;شكال;Neutre;Median;0.0
19259;شَكَّلَ;شَكَّل;شكل;Positive;Median;2.0
19260;مُتَشَاكَلٌ;مُتَشَاكَل;متشاكل;Neutre;Median;0.0
19261;مُتَشَاكَلٌ;مُتَشَاكَل;متشاكل;Neutre;Median;0.0
19262;مُتَشَاكِلٌ;مُتَشَاكِل;متشاكل;Negative;Median;-2.0
19263;مُسْتَشْكَلٌ;مُسْتَشْكَل;مستشكل;Negative;Median;-2.0
19264;مُسْتَشْكَلٌ;مُسْتَشْكَل;مستشكل;Negative;Median;-2.0
19265;مُسْتَشْكِلٌ;مُسْتَشْكِل;مستشكل;Negative;High;-3.0
19266;مُشَاكَلٌ;مُشَاكَل;مشاكل;Negative;Median;-2.0
19267;مُشَاكَلٌ;مُشَاكَل;مشاكل;Negative;Median;-2.0
19268;مُشَاكِلٌ;مُشَاكِل;مشاكل;Negative;High;-3.0
19269;مُشَاكَلَةٌ;مُشَاكَلَة;مشاكلة;Negative;Median;-2.0
19270;مُشَاكَلَةٌ;مُشَاكَلَة;مشاكلة;Negative;Median;-2.0
19271;مُشَكَّلٌ;مُشَكَّل;مشكل;Neutre;Median;0.0
19272;مُشَكَّلٌ;مُشَكَّل;مشكل;Neutre;Median;0.0
19273;مُشَكِّلٌ;مُشَكِّل;مشكل;Positive;Median;2.0
19274;مُشْكَلٌ;مُشْكَل;مشكل;Negative;Low;-1.0
19275;مُشْكَلٌ;مُشْكَل;مشكل;Negative;Low;-1.0
19276;مُشْكِلٌ;مُشْكِل;مشكل;Neutre;Median;0.0
19277;شَاكِمٌ;شَاكِم;شاكم;Negative;Median;-2.0
19278;شَكَّامٌ;شَكَّام;شكام;Negative;High;-3.0
19279;شَكَمَ;شَكَم;شكم;Negative;Median;-2.0
19280;شَكْمٌ;شَكْم;شكم;Negative;Low;-1.0
19281;شَكْمَةٌ;شَكْمَة;شكمة;Negative;Low;-1.0
19282;شِكْمَةٌ;شِكْمَة;شكمة;Negative;Low;-1.0
19283;مَشْكَمٌ;مَشْكَم;مشكم;Negative;Low;-1.0
19284;مَشْكُومٌ;مَشْكُوم;مشكوم;Negative;Median;-2.0
19285;إِشْكَاءٌ;إِشْكَاء;إشكاء;Negative;Median;-2.0
19286;إِشْكَاءَةٌ;إِشْكَاءَة;إشكاءة;Negative;Low;-1.0
19287;أَشْكَى;أَشْكَى;أشكى;Positive;Low;1.0
19288;اشْتِكَاءٌ;اشْتِكَاء;اشتكاء;Negative;Low;-1.0
19289;اشْتِكَاءَةٌ;اشْتِكَاءَة;اشتكاءة;Negative;Low;-1.0
19290;اِشْتَكَى;اِشْتَكَى;اشتكى;Negative;Median;-2.0
19291;تَشَاكٍ;تَشَاك;تشاك;Negative;Median;-2.0
19292;تَشَاكَى;تَشَاكَى;تشاكى;Negative;Median;-2.0
19293;تَشَاكِيَةٌ;تَشَاكِيَة;تشاكية;Negative;Median;-2.0
19294;تَشَكٍّ;تَشَكّ;تشك;Neutre;Median;0.0
19295;تَشَكَّى;تَشَكَّى;تشكى;Negative;High;-3.0
19296;تَشَكِّيَةٌ;تَشَكِّيَة;تشكية;Negative;Low;-1.0
19297;تَشْكِيَةٌ;تَشْكِيَة;تشكية;Negative;Low;-1.0
19298;تَشْكِيَةٌ;تَشْكِيَة;تشكية;Negative;Low;-1.0
19299;شَاكَى;شَاكَى;شاكى;Negative;Low;-1.0
19300;شِكَاءٌ;شِكَاء;شكاء;Negative;Low;-1.0
19301;شَكَّى;شَكَّى;شكى;Negative;Median;-2.0
19302;مُتَشَاكٍ;مُتَشَاك;متشاك;Negative;Median;-2.0
19303;مُتَشَاكًى;مُتَشَاكى;متشاكى;Negative;Low;-1.0
19304;مُتَشَاكًى;مُتَشَاكى;متشاكى;Negative;Low;-1.0
19305;مُتَشَكٍّ;مُتَشَكّ;متشك;Negative;Median;-2.0
19306;مُتَشَكًّى;مُتَشَكّى;متشكى;Negative;High;-3.0
19307;مُتَشَكًّى;مُتَشَكّى;متشكى;Negative;High;-3.0
19308;مُشَاكٍ;مُشَاك;مشاك;Negative;Low;-1.0
19309;مُشَاكَاةٌ;مُشَاكَاة;مشاكاة;Negative;Median;-2.0
19310;مُشَاكَاةٌ;مُشَاكَاة;مشاكاة;Negative;Median;-2.0
19311;مُشَاكًى;مُشَاكى;مشاكى;Negative;Median;-2.0
19312;مُشَاكًى;مُشَاكى;مشاكى;Negative;Median;-2.0
19313;مُشْتَكٍ;مُشْتَك;مشتك;Negative;High;-3.0
19314;مُشْتَكًى;مُشْتَكى;مشتكى;Negative;Median;-2.0
19315;مُشْتَكًى;مُشْتَكى;مشتكى;Negative;Median;-2.0
19316;مُشْكٍ;مُشْك;مشك;Negative;Low;-1.0
19317;مُشَكٍّ;مُشَكّ;مشك;Positive;Low;1.0
19318;مُشَكًّى;مُشَكّى;مشكى;Positive;Median;2.0
19319;مُشَكًّى;مُشَكّى;مشكى;Positive;Median;2.0
19320;مُشْكًى;مُشْكى;مشكى;Positive;Low;1.0
19321;مُشْكًى;مُشْكى;مشكى;Positive;Low;1.0
19322;اشْتِلَاقٌ;اشْتِلَاق;اشتلاق;Negative;Median;-2.0
19323;اشْتِلَاقَةٌ;اشْتِلَاقَة;اشتلاقة;Negative;Median;-2.0
19324;اِشْتَلَقَ;اِشْتَلَق;اشتلق;Negative;Median;-2.0
19325;تَشَلَّقَ;تَشَلَّق;تشلق;Negative;Median;-2.0
19326;تَشَلُّقٌ;تَشَلُّق;تشلق;Negative;Median;-2.0
19327;تَشَلُّقَةٌ;تَشَلُّقَة;تشلقة;Negative;Median;-2.0
19328;شَالِقٌ;شَالِق;شالق;Negative;Median;-2.0
19329;شَلَقَ;شَلَق;شلق;Negative;Low;-1.0
19330;شَلْقٌ;شَلْق;شلق;Negative;Low;-1.0
19331;شَلْقَةٌ;شَلْقَة;شلقة;Negative;Low;-1.0
19332;شِلْقَةٌ;شِلْقَة;شلقة;Negative;Low;-1.0
19333;شَلَّاقٌ;شَلَّاق;شلاق;Negative;High;-3.0
19334;مُتَشَلَّقٌ;مُتَشَلَّق;متشلق;Negative;High;-3.0
19335;مُتَشَلَّقٌ;مُتَشَلَّق;متشلق;Negative;High;-3.0
19336;مُتَشَلِّقٌ;مُتَشَلِّق;متشلق;Negative;Median;-2.0
19337;مُشْتَلَقٌ;مُشْتَلَق;مشتلق;Negative;Median;-2.0
19338;مُشْتَلَقٌ;مُشْتَلَق;مشتلق;Negative;Median;-2.0
19339;مُشْتَلِقٌ;مُشْتَلِق;مشتلق;Negative;Low;-1.0
19340;مَشْلَقٌ;مَشْلَق;مشلق;Neutre;Median;0.0
19341;مَشْلُوقٌ;مَشْلُوق;مشلوق;Negative;Low;-1.0
19342;إِشْلَالٌ;إِشْلَال;إشلال;Negative;Median;-2.0
19343;إِشْلَالَةٌ;إِشْلَالَة;إشلالة;Negative;Low;-1.0
19344;أَشَلَّ;أَشَلّ;أشل;Negative;Median;-2.0
19345;انْشِلَالٌ;انْشِلَال;انشلال;Negative;Median;-2.0
19346;انْشِلَالَةٌ;انْشِلَالَة;انشلالة;Negative;Low;-1.0
19347;اِنْشَلَّ;اِنْشَلّ;انشل;Negative;High;-3.0
19348;شَالٌّ;شَالّ;شال;Positive;High;3.0
19349;شَلٌّ;شَلّ;شل;Negative;Median;-2.0
19350;شَلَّ;شَلّ;شل;Negative;Median;-2.0
19351;شَلَّةٌ;شَلَّة;شلة;Negative;Low;-1.0
19352;شِلَّةٌ;شِلَّة;شلة;Negative;Low;-1.0
19353;مَشَلٌّ;مَشَلّ;مشل;Negative;Median;-2.0
19354;مُشَلٌّ;مُشَلّ;مشل;Negative;Median;-2.0
19355;مُشَلٌّ;مُشَلّ;مشل;Negative;Median;-2.0
19356;مُشِلٌّ;مُشِلّ;مشل;Negative;Median;-2.0
19357;مَشْلُولٌ;مَشْلُول;مشلول;Negative;High;-3.0
19358;مُنْشَلٌّ;مُنْشَلّ;منشل;Negative;Median;-2.0
19359;مُنْشَلٌّ;مُنْشَلّ;منشل;Negative;Median;-2.0
19360;مُنْشَلٌّ;مُنْشَلّ;منشل;Negative;Median;-2.0
19361;إِشْلَاءٌ;إِشْلَاء;إشلاء;Neutre;Median;0.0
19362;إِشْلَاءَةٌ;إِشْلَاءَة;إشلاءة;Neutre;Median;0.0
19363;أَشْلَى;أَشْلَى;أشلى;Negative;Low;-1.0
19364;اسْتِشْلَاءٌ;اسْتِشْلَاء;استشلاء;Neutre;Median;0.0
19365;اسْتِشْلَاءَةٌ;اسْتِشْلَاءَة;استشلاءة;Negative;Low;-1.0
19366;اِسْتَشْلَى;اِسْتَشْلَى;استشلى;Negative;Low;-1.0
19367;اشْتِلَاءٌ;اشْتِلَاء;اشتلاء;Positive;Median;2.0
19368;اشْتِلَاءَةٌ;اشْتِلَاءَة;اشتلاءة;Positive;Low;1.0
19369;اِشْتَلَى;اِشْتَلَى;اشتلى;Positive;Median;2.0
19370;شَالٍ;شَال;شال;Negative;Median;-2.0
19371;شَلَا;شَلَا;شلا;Negative;Low;-1.0
19372;شَلَّاءٌ;شَلَّاء;شلاء;Positive;Median;2.0
19373;شَلْوٌ;شَلْو;شلو;Neutre;Median;0.0
19374;شَلْوَةٌ;شَلْوَة;شلوة;Neutre;Median;0.0
19375;شِلْوَةٌ;شِلْوَة;شلوة;Neutre;Median;0.0
19376;مُسْتَشْلٍ;مُسْتَشْل;مستشل;Negative;Median;-2.0
19377;مُسْتَشْلًى;مُسْتَشْلى;مستشلى;Negative;Median;-2.0
19378;مُسْتَشْلًى;مُسْتَشْلى;مستشلى;Negative;Median;-2.0
19379;مُشْتَلٍ;مُشْتَل;مشتل;Positive;Median;2.0
19380;مُشْتَلًى;مُشْتَلى;مشتلى;Positive;Low;1.0
19381;مُشْتَلًى;مُشْتَلى;مشتلى;Positive;Low;1.0
19382;مُشْلٍ;مُشْل;مشل;Negative;Median;-2.0
19383;مَشْلُوٌّ;مَشْلُوّ;مشلو;Negative;Low;-1.0
19384;مَشْلًى;مَشْلى;مشلى;Negative;Low;-1.0
19385;مُشْلًى;مُشْلى;مشلى;Negative;Low;-1.0
19386;مُشْلًى;مُشْلى;مشلى;Negative;Low;-1.0
19387;إِشْمَاتٌ;إِشْمَات;إشمات;Negative;Low;-1.0
